\addplot coordinates{
(-0.740444,0.841908)
(-0.726844,0.874934)
(-0.713244,0.897151)
(-0.699644,0.914500)
(-0.686044,0.932599)
(-0.672444,0.967426)
(-0.658844,1.021710)
(-0.645244,1.098239)
(-0.631644,1.110276)
(-0.618044,1.116125)
(-0.604444,1.115360)
(-0.590844,1.096710)
(-0.577244,1.078801)
(-0.563644,1.068518)
(-0.550044,1.065081)
(-0.536444,1.065096)
(-0.522844,1.069338)
(-0.509244,1.076151)
(-0.495644,1.075743)
(-0.482044,1.063169)
(-0.468444,1.054592)
(-0.454844,1.045570)
(-0.441244,1.039640)
(-0.427644,1.039923)
(-0.414044,1.038982)
(-0.400444,1.035331)
(-0.386844,1.031798)
(-0.373244,1.027228)
(-0.359644,1.022658)
(-0.346044,1.018276)
(-0.332444,1.014287)
(-0.318844,1.007588)
(-0.305244,1.006173)
(-0.291644,1.004596)
(-0.278044,1.003162)
(-0.264444,1.001114)
(-0.250844,0.998316)
(-0.237244,0.993754)
(-0.223644,0.988592)
(-0.210044,0.983268)
(-0.196444,0.978371)
(-0.182844,0.974136)
(-0.169244,0.969871)
(-0.155644,0.967504)
(-0.142044,0.966437)
(-0.128444,0.962996)
(-0.114844,0.958055)
(-0.101244,0.955386)
(-0.087644,0.953151)
(-0.074044,0.949871)
(-0.060444,0.945798)
(-0.046844,0.941765)
(-0.033244,0.937309)
(-0.019644,0.932993)
(-0.006044,0.928982)
(0.007556,0.925526)
(0.021156,0.923765)
(0.034756,0.921544)
(0.048356,0.917596)
(0.061956,0.913739)
(0.075556,0.909673)
(0.089156,0.905838)
(0.102756,0.901735)
(0.116356,0.896570)
(0.129956,0.893335)
(0.143556,0.891471)
(0.157156,0.889702)
(0.170756,0.887460)
(0.184356,0.884526)
(0.197956,0.881029)
(0.211556,0.877463)
(0.225156,0.873651)
(0.238756,0.869165)
(0.252356,0.864037)
(0.265956,0.859206)
(0.279556,0.855268)
(0.293156,0.851886)
(0.306756,0.849555)
(0.320356,0.848489)
(0.333956,0.847199)
(0.347556,0.844309)
(0.361156,0.839449)
(0.374756,0.835533)
(0.388356,0.832956)
(0.401956,0.830647)
(0.415556,0.827860)
(0.429156,0.824526)
(0.442756,0.821467)
(0.456356,0.818820)
(0.469956,0.815515)
(0.483556,0.811651)
(0.497156,0.807254)
(0.510756,0.802460)
(0.524356,0.797022)
(0.537956,0.791739)
(0.551556,0.787232)
(0.565156,0.783603)
(0.578756,0.782386)
(0.592356,0.782460)
(0.605956,0.780235)
(0.619556,0.777592)
(0.633156,0.772004)
(0.646756,0.770257)
(0.660356,0.768143)
(0.673956,0.765099)
(0.687556,0.762779)
(0.701156,0.760456)
(0.714756,0.757092)
(0.728356,0.753110)
(0.741956,0.748029)
(0.755556,0.742099)
(0.769156,0.737239)
(0.782756,0.732680)
(0.796356,0.727474)
(0.809956,0.719860)
(0.823556,0.715390)
(0.837156,0.716298)
(0.850756,0.714353)
(0.864356,0.706676)
(0.877956,0.738029)
(0.891556,0.713702)
(0.905156,0.610040)
(0.918756,0.582283)
