energy,total.dn,total.up,Mn.s.up,Mn.s.dn,Mn.p.up,Mn.p.dn,Mn.d.up,Mn.d.dn,Li.s.up,Li.s.dn,Li.p.up,Li.p.dn,Li.d.up,Li.d.dn,Si.s.up,Si.s.dn,Si.p.up,Si.p.dn,Si.d.up,Si.d.dn,Li.t2g.up,Li.t2g.dn,Li.e_g.up,Li.e_g.dn,Mn.t2g.up,Mn.t2g.dn,Mn.e_g.up,Mn.e_g.dn,Si.t2g.up,Si.t2g.dn,Si.e_g.up,Si.e_g.dn
+20.6187,6.700e-01,8.508e-01,1.480e-02,1.240e-02,3.760e-02,3.190e-02,1.147e-01,8.210e-02,1.530e-02,1.430e-02,2.630e-02,1.940e-02,0.000e+00,0.000e+00,5.700e-03,4.300e-03,3.130e-02,2.740e-02,1.167e-01,9.080e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.220e-02,5.010e-02,4.250e-02,3.200e-02,9.040e-02,7.060e-02,2.630e-02,2.020e-02
+20.6566,6.879e-01,8.822e-01,1.540e-02,1.280e-02,3.890e-02,3.290e-02,1.174e-01,8.460e-02,1.580e-02,1.440e-02,2.750e-02,1.970e-02,0.000e+00,0.000e+00,6.200e-03,4.300e-03,3.180e-02,2.790e-02,1.211e-01,9.300e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.480e-02,5.170e-02,4.260e-02,3.290e-02,9.430e-02,7.290e-02,2.680e-02,2.010e-02
+20.6945,7.157e-01,9.073e-01,1.580e-02,1.350e-02,4.000e-02,3.420e-02,1.191e-01,8.790e-02,1.630e-02,1.460e-02,2.850e-02,2.030e-02,0.000e+00,0.000e+00,6.600e-03,4.500e-03,3.220e-02,2.850e-02,1.246e-01,9.700e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.690e-02,5.400e-02,4.220e-02,3.390e-02,9.760e-02,7.630e-02,2.700e-02,2.070e-02
+20.7324,7.463e-01,9.267e-01,1.580e-02,1.430e-02,4.120e-02,3.570e-02,1.203e-01,9.090e-02,1.680e-02,1.500e-02,2.970e-02,2.110e-02,0.000e+00,0.000e+00,7.100e-03,4.800e-03,3.230e-02,2.890e-02,1.274e-01,1.013e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.910e-02,5.620e-02,4.120e-02,3.470e-02,1.004e-01,8.000e-02,2.700e-02,2.130e-02
+20.7703,7.687e-01,9.513e-01,1.610e-02,1.500e-02,4.160e-02,3.680e-02,1.204e-01,9.190e-02,1.700e-02,1.530e-02,3.220e-02,2.200e-02,0.000e+00,0.000e+00,8.600e-03,5.200e-03,2.910e-02,2.920e-02,1.323e-01,1.042e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.280e-02,5.710e-02,3.760e-02,3.480e-02,1.053e-01,8.240e-02,2.700e-02,2.180e-02
+20.8082,7.886e-01,8.674e-01,1.510e-02,1.550e-02,3.920e-02,3.760e-02,1.113e-01,9.310e-02,1.650e-02,1.570e-02,2.840e-02,2.270e-02,0.000e+00,0.000e+00,7.100e-03,5.500e-03,2.610e-02,2.930e-02,1.179e-01,1.065e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.770e-02,5.800e-02,3.360e-02,3.510e-02,9.320e-02,8.430e-02,2.470e-02,2.220e-02
+20.8461,8.084e-01,8.455e-01,1.530e-02,1.610e-02,3.820e-02,3.850e-02,1.080e-01,9.440e-02,1.640e-02,1.620e-02,2.730e-02,2.310e-02,0.000e+00,0.000e+00,7.200e-03,5.700e-03,2.530e-02,2.940e-02,1.129e-01,1.084e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.560e-02,5.900e-02,3.240e-02,3.540e-02,8.890e-02,8.590e-02,2.400e-02,2.250e-02
+20.8840,8.318e-01,8.479e-01,1.590e-02,1.670e-02,3.860e-02,3.960e-02,1.078e-01,9.630e-02,1.660e-02,1.690e-02,2.710e-02,2.380e-02,0.000e+00,0.000e+00,7.400e-03,5.900e-03,2.520e-02,2.960e-02,1.118e-01,1.110e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.580e-02,6.060e-02,3.200e-02,3.570e-02,8.770e-02,8.810e-02,2.410e-02,2.290e-02
+20.9219,8.787e-01,8.440e-01,1.610e-02,1.750e-02,3.860e-02,4.170e-02,1.067e-01,1.006e-01,1.660e-02,1.800e-02,2.680e-02,2.530e-02,0.000e+00,0.000e+00,7.600e-03,6.400e-03,2.510e-02,3.040e-02,1.103e-01,1.170e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.530e-02,6.440e-02,3.140e-02,3.620e-02,8.630e-02,9.320e-02,2.400e-02,2.380e-02
+20.9598,9.175e-01,8.248e-01,1.590e-02,1.810e-02,3.800e-02,4.330e-02,1.030e-01,1.045e-01,1.620e-02,1.920e-02,2.610e-02,2.620e-02,0.000e+00,0.000e+00,7.600e-03,6.700e-03,2.470e-02,3.130e-02,1.069e-01,1.219e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.300e-02,6.750e-02,3.000e-02,3.700e-02,8.330e-02,9.710e-02,2.360e-02,2.480e-02
+20.9977,9.447e-01,8.043e-01,1.540e-02,1.800e-02,3.730e-02,4.540e-02,9.950e-02,1.076e-01,1.550e-02,2.050e-02,2.540e-02,2.700e-02,0.000e+00,0.000e+00,7.600e-03,7.000e-03,2.450e-02,3.070e-02,1.038e-01,1.239e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.020e-02,6.990e-02,2.930e-02,3.770e-02,8.050e-02,9.850e-02,2.330e-02,2.540e-02
+21.0356,9.528e-01,7.948e-01,1.460e-02,1.770e-02,3.700e-02,4.550e-02,9.710e-02,1.079e-01,1.460e-02,2.090e-02,2.490e-02,2.750e-02,0.000e+00,0.000e+00,7.500e-03,7.100e-03,2.470e-02,2.960e-02,1.023e-01,1.244e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.740e-02,7.050e-02,2.970e-02,3.740e-02,7.850e-02,9.880e-02,2.380e-02,2.560e-02
+21.0735,9.046e-01,8.513e-01,1.400e-02,1.700e-02,3.800e-02,4.220e-02,1.018e-01,1.015e-01,1.430e-02,1.990e-02,2.540e-02,2.670e-02,0.000e+00,0.000e+00,7.500e-03,6.900e-03,2.660e-02,2.660e-02,1.070e-01,1.190e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.840e-02,6.750e-02,3.340e-02,3.400e-02,8.010e-02,9.470e-02,2.690e-02,2.430e-02
+21.1114,8.537e-01,7.848e-01,1.300e-02,1.650e-02,3.700e-02,3.900e-02,9.200e-02,9.460e-02,1.290e-02,1.870e-02,2.410e-02,2.590e-02,0.000e+00,0.000e+00,7.000e-03,6.600e-03,2.610e-02,2.370e-02,1.009e-01,1.123e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.130e-02,6.410e-02,3.070e-02,3.050e-02,7.630e-02,8.950e-02,2.460e-02,2.280e-02
+21.1493,8.311e-01,7.403e-01,1.230e-02,1.680e-02,3.650e-02,3.750e-02,8.630e-02,9.090e-02,1.210e-02,1.780e-02,2.290e-02,2.540e-02,0.000e+00,0.000e+00,6.600e-03,6.400e-03,2.620e-02,2.300e-02,9.700e-02,1.079e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.710e-02,6.200e-02,2.920e-02,2.890e-02,7.370e-02,8.560e-02,2.330e-02,2.230e-02
+21.1872,8.201e-01,7.093e-01,1.140e-02,1.760e-02,3.540e-02,3.680e-02,8.320e-02,8.870e-02,1.160e-02,1.710e-02,2.140e-02,2.500e-02,0.000e+00,0.000e+00,5.900e-03,6.300e-03,2.650e-02,2.270e-02,9.450e-02,1.047e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.430e-02,6.050e-02,2.890e-02,2.820e-02,7.130e-02,8.260e-02,2.320e-02,2.210e-02
+21.2251,8.203e-01,6.735e-01,1.070e-02,1.860e-02,3.450e-02,3.620e-02,7.890e-02,8.790e-02,1.110e-02,1.670e-02,1.980e-02,2.490e-02,0.000e+00,0.000e+00,5.400e-03,6.400e-03,2.580e-02,2.290e-02,9.100e-02,1.028e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.080e-02,5.990e-02,2.810e-02,2.800e-02,6.790e-02,8.040e-02,2.310e-02,2.240e-02
+21.2630,8.322e-01,6.649e-01,1.040e-02,1.940e-02,3.520e-02,3.620e-02,7.770e-02,8.870e-02,1.090e-02,1.630e-02,1.950e-02,2.500e-02,0.000e+00,0.000e+00,5.100e-03,6.700e-03,2.620e-02,2.380e-02,9.140e-02,1.028e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.930e-02,6.000e-02,2.840e-02,2.870e-02,6.770e-02,7.960e-02,2.370e-02,2.320e-02
+21.3009,8.167e-01,6.646e-01,1.020e-02,1.820e-02,3.640e-02,3.560e-02,7.720e-02,8.570e-02,1.090e-02,1.450e-02,1.930e-02,2.470e-02,0.000e+00,0.000e+00,4.900e-03,7.000e-03,2.700e-02,2.430e-02,9.280e-02,1.011e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.810e-02,5.650e-02,2.910e-02,2.920e-02,6.790e-02,7.710e-02,2.490e-02,2.400e-02
