energy,total.dn,total.up,Mn.s.up,Mn.s.dn,Mn.p.up,Mn.p.dn,Mn.d.up,Mn.d.dn,Li.s.up,Li.s.dn,Li.p.up,Li.p.dn,Li.d.up,Li.d.dn,P.s.up,P.s.dn,P.p.up,P.p.dn,P.d.up,P.d.dn,Li.t2g.up,Li.t2g.dn,Li.e_g.up,Li.e_g.dn,Mn.t2g.up,Mn.t2g.dn,Mn.e_g.up,Mn.e_g.dn,P.t2g.up,P.t2g.dn,P.e_g.up,P.e_g.dn
 -1.5774,9.408e+00,3.369e+00,3.630e-02,1.366e-01,1.027e-01,3.821e-01,2.052e+00,5.373e+00,1.220e-02,1.544e-01,7.890e-02,8.810e-02,0.000e+00,0.000e+00,5.400e-03,8.700e-03,3.164e-01,8.876e-01,5.150e-02,1.706e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.594e-01,4.203e-01,1.825e-01,1.073e+00,8.500e-03,9.100e-03,1.170e-02,9.400e-03
 -1.5521,7.210e+00,3.288e+00,3.720e-02,9.710e-02,9.690e-02,3.103e-01,1.884e+00,4.318e+00,1.150e-02,9.880e-02,8.200e-02,6.760e-02,0.000e+00,0.000e+00,7.500e-03,5.100e-03,3.556e-01,6.088e-01,4.350e-02,1.344e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.479e-01,3.279e-01,1.801e-01,8.291e-01,8.800e-03,1.200e-02,6.000e-03,8.600e-03
 -1.5269,1.066e+01,1.042e+01,9.080e-02,1.375e-01,2.489e-01,4.722e-01,5.898e+00,6.233e+00,2.480e-02,1.463e-01,2.736e-01,1.176e-01,0.000e+00,0.000e+00,2.140e-02,7.300e-03,1.230e+00,9.677e-01,1.091e-01,1.966e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.955e-01,5.208e-01,5.226e-01,1.189e+00,2.110e-02,1.740e-02,1.250e-02,1.450e-02
 -1.5016,1.798e+01,1.318e+01,1.000e-01,2.323e-01,3.246e-01,8.580e-01,7.385e+00,1.013e+01,2.860e-02,2.599e-01,3.411e-01,2.263e-01,0.000e+00,0.000e+00,2.990e-02,1.210e-02,1.577e+00,1.773e+00,1.465e-01,3.271e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.242e+00,9.908e-01,6.434e-01,2.040e+00,2.930e-02,2.550e-02,1.530e-02,3.160e-02
 -1.4763,9.311e+00,1.156e+01,8.430e-02,1.094e-01,2.920e-01,3.736e-01,6.700e+00,5.314e+00,2.710e-02,1.031e-01,2.745e-01,1.412e-01,0.000e+00,0.000e+00,2.960e-02,8.200e-03,1.307e+00,9.612e-01,1.374e-01,1.704e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.139e+00,4.533e-01,6.158e-01,8.303e-01,2.760e-02,2.050e-02,1.490e-02,1.880e-02
 -1.4511,6.922e+00,1.147e+01,7.490e-02,7.940e-02,2.911e-01,2.742e-01,6.703e+00,3.703e+00,2.710e-02,7.560e-02,2.600e-01,1.337e-01,0.000e+00,0.000e+00,2.990e-02,5.800e-03,1.295e+00,8.243e-01,1.348e-01,1.227e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.268e+00,3.734e-01,5.905e-01,5.642e-01,2.730e-02,1.430e-02,1.390e-02,1.850e-02
 -1.4258,6.129e+00,8.456e+00,5.140e-02,7.430e-02,2.243e-01,2.536e-01,4.924e+00,3.180e+00,2.360e-02,5.300e-02,1.835e-01,1.336e-01,0.000e+00,0.000e+00,2.400e-02,5.000e-03,9.661e-01,7.839e-01,9.990e-02,1.043e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.419e-01,3.214e-01,4.295e-01,4.923e-01,2.040e-02,1.430e-02,9.500e-03,1.870e-02
 -1.4006,8.869e+00,7.443e+00,4.180e-02,8.260e-02,1.962e-01,3.172e-01,4.286e+00,4.333e+00,2.320e-02,5.980e-02,1.569e-01,2.440e-01,0.000e+00,0.000e+00,2.130e-02,4.100e-03,8.924e-01,1.284e+00,7.940e-02,1.447e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.565e-01,5.038e-01,3.648e-01,6.755e-01,1.600e-02,1.940e-02,7.500e-03,3.820e-02
 -1.3753,8.938e+00,7.301e+00,4.090e-02,8.370e-02,1.936e-01,3.216e-01,4.209e+00,4.373e+00,2.600e-02,4.160e-02,1.452e-01,2.531e-01,0.000e+00,0.000e+00,2.250e-02,4.000e-03,8.800e-01,1.319e+00,7.900e-02,1.424e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.834e-01,4.476e-01,3.439e-01,8.554e-01,1.640e-02,2.330e-02,6.900e-03,3.480e-02
 -1.3501,5.673e+00,6.978e+00,3.790e-02,4.360e-02,1.857e-01,1.924e-01,4.084e+00,3.059e+00,2.810e-02,1.570e-02,1.277e-01,1.450e-01,0.000e+00,0.000e+00,2.290e-02,4.000e-03,8.196e-01,7.474e-01,8.060e-02,9.510e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.795e-01,2.379e-01,3.223e-01,6.508e-01,1.850e-02,2.050e-02,6.100e-03,1.680e-02
 -1.3248,4.729e-01,7.055e+00,3.410e-02,4.100e-03,1.745e-01,4.000e-02,4.217e+00,1.301e-01,2.810e-02,1.900e-03,1.198e-01,1.860e-02,0.000e+00,0.000e+00,2.220e-02,7.000e-04,8.181e-01,1.050e-01,7.890e-02,4.600e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.823e-01,1.880e-02,3.362e-01,1.660e-02,1.940e-02,3.000e-04,4.600e-03,5.000e-04
 -1.2996,8.576e-01,7.113e+00,3.230e-02,8.300e-03,1.688e-01,6.820e-02,4.338e+00,2.629e-01,2.720e-02,4.600e-03,1.147e-01,3.100e-02,0.000e+00,0.000e+00,2.150e-02,1.200e-03,8.075e-01,1.809e-01,7.860e-02,9.400e-03,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.740e-01,3.560e-02,3.634e-01,2.910e-02,2.080e-02,8.000e-04,3.600e-03,1.800e-03
 -1.2743,1.382e+00,7.292e+00,3.090e-02,1.470e-02,1.649e-01,1.043e-01,4.590e+00,4.555e-01,2.550e-02,8.000e-03,1.095e-01,4.770e-02,0.000e+00,0.000e+00,1.990e-02,2.300e-03,7.938e-01,2.796e-01,8.150e-02,1.620e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.875e-01,5.900e-02,4.070e-01,4.240e-02,2.310e-02,1.200e-03,3.200e-03,3.500e-03
 -1.2490,2.723e+00,6.859e+00,2.630e-02,3.150e-02,1.415e-01,1.717e-01,4.522e+00,1.144e+00,1.910e-02,1.760e-02,9.440e-02,7.830e-02,0.000e+00,0.000e+00,1.380e-02,5.300e-03,6.999e-01,4.581e-01,7.990e-02,3.750e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.653e-01,1.329e-01,4.092e-01,9.140e-02,2.500e-02,3.200e-03,2.900e-03,6.800e-03
 -1.2238,1.506e+01,5.307e+00,2.520e-02,1.319e-01,1.264e-01,4.534e-01,3.463e+00,8.571e+00,1.610e-02,1.344e-01,7.750e-02,3.463e-01,0.000e+00,0.000e+00,1.150e-02,2.880e-02,5.266e-01,1.669e+00,7.050e-02,2.850e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.295e-01,1.307e+00,3.331e-01,6.181e-01,2.330e-02,1.440e-02,2.300e-03,7.590e-02
 -1.1985,3.955e+00,5.035e+00,2.700e-02,4.960e-02,1.259e-01,1.902e-01,3.235e+00,1.908e+00,2.230e-02,2.380e-02,7.070e-02,1.005e-01,0.000e+00,0.000e+00,1.350e-02,1.220e-02,4.959e-01,5.674e-01,7.390e-02,6.080e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.516e-01,2.272e-01,2.454e-01,1.705e-01,2.430e-02,5.200e-03,1.800e-03,1.450e-02
 -1.1733,3.397e+00,1.116e+01,5.520e-02,4.360e-02,2.310e-01,1.652e-01,7.704e+00,1.602e+00,6.440e-02,1.870e-02,1.216e-01,8.700e-02,0.000e+00,0.000e+00,2.590e-02,1.160e-02,8.695e-01,5.048e-01,1.975e-01,5.010e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.573e+00,1.863e-01,4.959e-01,1.499e-01,6.260e-02,4.700e-03,2.600e-03,1.200e-02
 -1.1480,4.716e+00,8.461e+00,4.740e-02,4.970e-02,1.700e-01,1.781e-01,5.864e+00,2.514e+00,4.540e-02,2.100e-02,8.830e-02,1.183e-01,0.000e+00,0.000e+00,1.840e-02,1.550e-02,6.709e-01,5.958e-01,1.419e-01,8.180e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.272e+00,3.624e-01,2.942e-01,2.064e-01,4.130e-02,5.800e-03,2.300e-03,2.640e-02
 -1.1228,4.322e+00,5.581e+00,3.250e-02,4.250e-02,1.072e-01,1.564e-01,3.985e+00,2.239e+00,1.970e-02,1.840e-02,4.810e-02,1.091e-01,0.000e+00,0.000e+00,1.060e-02,1.500e-02,4.450e-01,5.867e-01,8.120e-02,7.280e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.730e-01,3.377e-01,1.916e-01,1.675e-01,2.090e-02,5.200e-03,1.900e-03,2.420e-02
 -1.0975,3.263e+00,4.715e+00,3.140e-02,2.680e-02,9.160e-02,1.049e-01,3.397e+00,1.747e+00,1.180e-02,1.150e-02,3.960e-02,8.120e-02,0.000e+00,0.000e+00,6.300e-03,1.120e-02,3.788e-01,4.301e-01,6.720e-02,5.820e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.290e-01,2.793e-01,1.841e-01,1.124e-01,1.930e-02,4.100e-03,1.400e-03,2.190e-02
 -1.0723,2.969e+00,7.476e+00,4.910e-02,1.910e-02,1.492e-01,8.350e-02,5.329e+00,1.676e+00,2.290e-02,9.900e-03,7.240e-02,7.260e-02,0.000e+00,0.000e+00,8.500e-03,8.500e-03,5.874e-01,3.661e-01,1.204e-01,5.500e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.471e-01,2.752e-01,2.918e-01,9.610e-02,4.070e-02,3.800e-03,1.800e-03,2.200e-02
 -1.0470,2.875e+00,8.562e+00,6.300e-02,1.650e-02,1.991e-01,7.710e-02,5.832e+00,1.663e+00,3.450e-02,9.300e-03,1.045e-01,6.860e-02,0.000e+00,0.000e+00,1.270e-02,7.100e-03,7.091e-01,3.442e-01,1.493e-01,5.340e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.298e-01,2.677e-01,2.605e-01,9.100e-02,5.070e-02,4.000e-03,1.900e-03,2.260e-02
 -1.0217,3.413e+00,1.534e+01,1.406e-01,1.850e-02,4.568e-01,8.910e-02,9.688e+00,2.040e+00,7.820e-02,1.040e-02,2.452e-01,7.870e-02,0.000e+00,0.000e+00,3.150e-02,7.400e-03,1.419e+00,3.883e-01,2.591e-01,6.410e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.618e+00,3.086e-01,4.507e-01,1.042e-01,7.890e-02,5.200e-03,3.800e-03,2.960e-02
 -0.9965,3.542e+00,9.442e+00,7.080e-02,1.880e-02,2.885e-01,9.110e-02,5.905e+00,2.136e+00,4.210e-02,1.020e-02,1.401e-01,8.030e-02,0.000e+00,0.000e+00,2.410e-02,7.000e-03,9.442e-01,3.986e-01,1.392e-01,6.640e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.818e-01,3.220e-01,4.297e-01,1.097e-01,3.910e-02,5.200e-03,3.000e-03,3.220e-02
 -0.9712,3.694e+00,5.468e+00,3.700e-02,1.920e-02,1.644e-01,9.420e-02,3.601e+00,2.236e+00,1.500e-02,1.010e-02,7.250e-02,8.270e-02,0.000e+00,0.000e+00,1.310e-02,6.900e-03,4.982e-01,4.158e-01,8.290e-02,6.910e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.295e-01,3.365e-01,3.461e-01,1.160e-01,2.540e-02,5.400e-03,2.100e-03,3.490e-02
 -0.9460,3.502e+00,5.772e+00,3.690e-02,1.830e-02,1.707e-01,8.960e-02,4.008e+00,2.091e+00,1.270e-02,8.900e-03,7.650e-02,7.790e-02,0.000e+00,0.000e+00,1.290e-02,6.400e-03,4.305e-01,4.102e-01,9.850e-02,6.490e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.589e-01,3.243e-01,4.000e-01,1.144e-01,3.430e-02,4.800e-03,1.900e-03,3.410e-02
 -0.9207,2.938e+00,7.814e+00,4.700e-02,1.630e-02,2.224e-01,7.780e-02,5.617e+00,1.700e+00,1.330e-02,6.600e-03,1.084e-01,6.550e-02,0.000e+00,0.000e+00,1.460e-02,5.300e-03,4.917e-01,3.683e-01,1.433e-01,5.480e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.012e-01,2.835e-01,4.710e-01,1.077e-01,5.240e-02,3.400e-03,2.400e-03,3.150e-02
 -0.8955,3.544e+00,6.697e+00,4.470e-02,1.430e-02,2.150e-01,8.130e-02,4.764e+00,2.009e+00,1.160e-02,6.000e-03,9.500e-02,7.620e-02,0.000e+00,0.000e+00,1.480e-02,6.800e-03,4.275e-01,4.960e-01,1.283e-01,5.350e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.602e-01,3.415e-01,4.141e-01,1.573e-01,5.000e-02,3.900e-03,2.100e-03,2.620e-02
 -0.8702,4.239e+00,6.843e+00,4.560e-02,1.390e-02,2.307e-01,9.160e-02,4.875e+00,2.428e+00,1.160e-02,6.400e-03,9.980e-02,8.790e-02,0.000e+00,0.000e+00,1.570e-02,7.700e-03,4.238e-01,5.999e-01,1.340e-01,5.720e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.551e-01,3.997e-01,4.053e-01,2.131e-01,5.300e-02,4.900e-03,2.300e-03,2.450e-02
 -0.8450,4.892e+00,6.931e+00,4.480e-02,1.340e-02,2.396e-01,1.029e-01,4.963e+00,2.819e+00,1.150e-02,6.600e-03,1.029e-01,9.820e-02,0.000e+00,0.000e+00,1.620e-02,8.600e-03,4.118e-01,6.991e-01,1.374e-01,6.060e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.722e-01,4.481e-01,3.951e-01,2.715e-01,5.470e-02,6.100e-03,2.300e-03,2.210e-02
 -0.8197,1.129e+01,6.750e+00,4.390e-02,1.480e-02,2.413e-01,2.716e-01,4.838e+00,6.930e+00,1.100e-02,9.800e-03,1.024e-01,2.102e-01,0.000e+00,0.000e+00,1.670e-02,1.310e-02,3.905e-01,1.477e+00,1.353e-01,9.940e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.817e-01,1.085e+00,3.781e-01,7.327e-01,5.270e-02,1.510e-02,2.400e-03,2.260e-02
 -0.7944,1.257e+01,6.387e+00,4.220e-02,2.860e-02,2.347e-01,2.819e-01,4.594e+00,7.009e+00,9.600e-03,1.800e-02,1.003e-01,2.109e-01,0.000e+00,0.000e+00,1.610e-02,2.510e-02,3.533e-01,1.904e+00,1.301e-01,1.567e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.813e-01,9.128e-01,3.639e-01,8.155e-01,4.820e-02,2.570e-02,2.400e-03,3.310e-02
 -0.7692,1.528e+01,5.924e+00,3.950e-02,3.220e-02,2.264e-01,3.247e-01,4.247e+00,9.359e+00,9.800e-03,1.830e-02,9.700e-02,2.318e-01,0.000e+00,0.000e+00,1.650e-02,2.870e-02,3.201e-01,2.024e+00,1.216e-01,1.481e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.860e-01,1.169e+00,3.661e-01,1.069e+00,3.960e-02,3.330e-02,2.300e-03,1.910e-02
 -0.7439,9.596e+00,5.144e+00,3.900e-02,1.800e-02,2.056e-01,2.092e-01,3.639e+00,5.883e+00,9.000e-03,1.130e-02,8.760e-02,1.370e-01,0.000e+00,0.000e+00,1.650e-02,2.200e-02,2.846e-01,1.310e+00,1.057e-01,8.330e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.265e-01,6.697e-01,3.384e-01,8.072e-01,2.900e-02,1.790e-02,2.400e-03,1.220e-02
