energy,total.dn,total.up,Mn.s.up,Mn.s.dn,Mn.p.up,Mn.p.dn,Mn.d.up,Mn.d.dn,Li.s.up,Li.s.dn,Li.p.up,Li.p.dn,Li.d.up,Li.d.dn,Sb.s.up,Sb.s.dn,Sb.p.up,Sb.p.dn,Sb.d.up,Sb.d.dn
 +4.2229,1.520e+00,9.920e-01,2.860e-02,7.310e-02,4.610e-02,4.210e-02,3.710e-02,1.146e-01,6.540e-02,7.410e-02,9.890e-02,1.559e-01,0.000e+00,0.000e+00,4.330e-02,1.217e-01,5.920e-02,1.405e-01,1.032e-01,1.176e-01
 +4.2420,1.835e+00,1.055e+00,2.860e-02,8.880e-02,4.880e-02,4.780e-02,3.930e-02,1.440e-01,6.740e-02,1.038e-01,1.079e-01,1.849e-01,0.000e+00,0.000e+00,4.580e-02,1.347e-01,6.290e-02,1.516e-01,1.101e-01,1.507e-01
 +4.2611,2.280e+00,1.130e+00,2.840e-02,1.087e-01,5.170e-02,5.800e-02,4.180e-02,1.839e-01,6.980e-02,1.441e-01,1.185e-01,2.320e-01,0.000e+00,0.000e+00,4.870e-02,1.436e-01,6.700e-02,1.603e-01,1.183e-01,2.028e-01
 +4.2802,2.107e+00,1.233e+00,2.880e-02,9.490e-02,5.640e-02,5.190e-02,4.510e-02,1.796e-01,7.300e-02,1.293e-01,1.327e-01,2.152e-01,0.000e+00,0.000e+00,5.360e-02,1.330e-01,7.340e-02,1.562e-01,1.290e-01,1.831e-01
 +4.2994,2.018e+00,1.374e+00,2.890e-02,8.930e-02,6.300e-02,4.850e-02,4.930e-02,1.777e-01,7.650e-02,1.260e-01,1.533e-01,2.030e-01,0.000e+00,0.000e+00,6.180e-02,1.253e-01,7.970e-02,1.510e-01,1.437e-01,1.749e-01
 +4.3185,1.908e+00,1.590e+00,2.980e-02,8.300e-02,7.170e-02,4.510e-02,5.660e-02,1.684e-01,8.330e-02,1.218e-01,1.822e-01,1.920e-01,0.000e+00,0.000e+00,7.310e-02,1.171e-01,8.810e-02,1.395e-01,1.678e-01,1.668e-01
 +4.3376,1.830e+00,1.747e+00,3.050e-02,7.630e-02,7.720e-02,4.260e-02,6.320e-02,1.635e-01,8.890e-02,1.174e-01,2.015e-01,1.851e-01,0.000e+00,0.000e+00,7.870e-02,1.105e-01,9.420e-02,1.323e-01,1.863e-01,1.605e-01
 +4.3567,1.829e+00,1.798e+00,3.090e-02,7.320e-02,7.610e-02,4.220e-02,6.720e-02,1.631e-01,9.220e-02,1.187e-01,2.045e-01,1.866e-01,0.000e+00,0.000e+00,7.620e-02,1.103e-01,9.620e-02,1.284e-01,1.953e-01,1.617e-01
 +4.3758,1.789e+00,1.811e+00,3.130e-02,6.900e-02,7.630e-02,4.050e-02,6.790e-02,1.608e-01,9.290e-02,1.179e-01,2.055e-01,1.834e-01,0.000e+00,0.000e+00,7.520e-02,1.042e-01,9.820e-02,1.222e-01,1.977e-01,1.603e-01
 +4.3950,1.610e+00,1.760e+00,3.120e-02,5.790e-02,7.620e-02,3.630e-02,6.480e-02,1.483e-01,9.080e-02,1.118e-01,2.008e-01,1.657e-01,0.000e+00,0.000e+00,7.370e-02,8.660e-02,9.860e-02,9.730e-02,1.906e-01,1.502e-01
 +4.4141,1.420e+00,1.701e+00,3.030e-02,4.680e-02,7.490e-02,3.220e-02,6.160e-02,1.350e-01,8.780e-02,1.047e-01,1.943e-01,1.452e-01,0.000e+00,0.000e+00,7.110e-02,6.950e-02,9.740e-02,7.300e-02,1.839e-01,1.382e-01
